Country,croissance,total
AT,1.4,397575.3
BA,2.7,18012.2
BE,1.7,476203.3
BG,3.7,61239.5
CH,1.1,653470.8
CY,3.1,22286.9
CZ,2.3,223945.0
DE,0.6,3449050.0
DK,2.8,312747.2
EA,1.3,11935520.7
EA19,1.3,11935520.7
EE,5.0,28112.4
EL,1.9,183413.5
ES,2.0,1244772.0
EU27_2020,1.6,13963887.0
EU28,1.5,16486600.3
FI,1.1,240556.0
FR,1.5,2425708.0
HR,2.9,54237.9
HU,4.6,146061.8
IE,5.6,356051.2
IS,1.9,21994.3
IT,0.3,1789747.0
LT,4.3,48797.4
LU,2.3,63516.3
LV,2.1,30463.3
ME,,4950.7
MK,,11209.1
MT,5.3,13462.4
NL,1.7,810247.0
NO,0.9,362242.6
PL,4.5,532329.2
PT,2.2,213301.0
RO,4.2,223337.4
RS,4.2,45970.4
SE,1.3,474468.2
SI,3.2,48392.6
SK,2.3,93865.2
TR,0.9,679510.4
UK,1.3,2522713.2
XK,4.9,7103.8
