Country;2019;Nom
AT;8,5;Autriche
BE;14,2;Belgique
BG;8,9;Bulgarie
CH;8;Suisse
CY;16,6;Chypre
CZ;5,6;République Tchèque
DE;5,8;Allemagne
DK;10,1;Danemark
EA19;15,7;Europe 19
EE;11,1;Estonie
EL;35,2;Grèce
ES;32,5;Espagne
EU27_2020;15,1;Europe 27
EU28;14,4;Europe 28
FI;17,2;Finlande
FR;19,6;France
HR;16,6;Croatie
HU;11,4;Hongrie
IE;12,5;Irlande
IS;8,7;Islande
IT;29,2;Italie
LT;11,9;Lituanie
LU;17;Luxembourg
LV;12,4;Lettonie
ME;25,2;Monténégro
MK;35,6;Macédoine du Nord
MT;9,3;Malte
NL;6,7;Pays-Bas
NO;10;Norvège
PL;9,9;Pologne
PT;18,3;Portugal
RO;16,8;Roumanie
RS;27,5;Serbie
SE;20,1;Suède
SI;8,1;Slovénie
SK;16,1;Slovaquie
TR;25,2;Turquie
UK;11,2;Grande-Bretagne
